Player,SAW_score,SAW_rank,TOPSIS_score,TOPSIS_rank,Hellwig_score,Hellwig_rank,Pos,Tm,Srednia_ranga,Rozstep_rang,SAW_score_norm,TOPSIS_score_norm,Hellwig_score_norm,AGR_score,AGR_rank
Naji Marshall,0.296385861593755,92,0.23922563081834392,96,0.1369421012695171,87,SF,NOP,91.66666666666667,9,0.21720829915036455,0.14784374169714573,0.41555252143560534,0.26020152076103853,92
Precious Achiuwa,0.2776818605617926,96,0.2413812762138355,93,0.1509637639313327,80,PF,NYK,89.66666666666667,16,0.1839910068903675,0.15155368991678586,0.4424761894848796,0.2593402954306776,93
Aaron Wiggins,0.2895348533072459,93,0.21713519632835254,100,0.13725772886163312,86,SG,OKC,93.0,14,0.20504127969074473,0.10982525856507648,0.41615857313733856,0.24367503713105323,94
Nickeil Alexander-Walker,0.285757085663194,94,0.23259267003901113,97,0.11209988189025266,96,SG,MIN,95.66666666666667,3,0.19833216907273354,0.13642816236035205,0.3678517826354922,0.23420403802285925,95
Kyle Anderson,0.2758818488531571,99,0.22698242777701058,98,0.11666618708731735,94,PF,MIN,97.0,5,0.18079428363874941,0.12677272073011486,0.3766197646004446,0.22806225632310295,96
Josh Green,0.2758868731421722,98,0.214901839929054,102,0.12440239752531401,92,SG,DAL,97.33333333333333,10,0.1808032065037732,0.10598156673397645,0.3914744338943486,0.22608640237736607,97
Isaiah Joe,0.27848103195944,95,0.21266402401634504,104,0.10209535800304947,100,SG,OKC,99.66666666666667,9,0.1854102919853651,0.10213019990963676,0.3486416157225752,0.21206070253919235,98
Moritz Wagner,0.2519159911664081,106,0.21666171412440227,101,0.10841732919616731,98,C,ORL,101.66666666666667,8,0.13823221910069405,0.10901037757247425,0.3607807363051937,0.20267444432612064,99
Terance Mann,0.2763156220548594,97,0.2458595873753957,92,0.05554454547294341,112,SG,LAC,100.33333333333333,20,0.1815646413387344,0.15926103480550108,0.25925716437661134,0.20002761350694892,100
Norman Powell,0.2678054650059415,100,0.24686782267711868,91,0.0604173765321131,110,SG,LAC,100.33333333333333,19,0.16645106358660997,0.16099624634373855,0.26861372137427414,0.1986870104348742,101
Ben Sheppard,0.26143570674234584,103,0.20240455935968996,110,0.10381588681886156,99,SG,IND,104.0,11,0.1551387180886698,0.08447326861795827,0.3519452857525413,0.19718575748638978,102
Russell Westbrook,0.2630244716856058,102,0.23953020811295966,95,0.06622742859448516,107,PG,LAC,101.33333333333333,12,0.1579602785324764,0.14836793087699218,0.2797698814423878,0.1953660302839521,103
Cason Wallace,0.2477109910109,108,0.2026519532727967,109,0.09411268183843036,101,SG,OKC,106.0,8,0.1307643666941338,0.08489904300988735,0.3333136957472682,0.1829923684837631,104
Payton Pritchard,0.26573373338384376,101,0.21347253915379566,103,0.06353149451285722,108,PG,BOS,104.0,7,0.16277178049322802,0.10352168540210707,0.27459328890503193,0.18029558493345565,105
Marcus Morris,0.25679402898798376,105,0.20350633508361451,108,0.07781113165716635,103,PF,CLE,105.33333333333333,5,0.1468953499301729,0.08636946680248594,0.30201230615071456,0.17842570762779114,106
Markelle Fultz,0.25717862793680685,104,0.19751203275809476,112,0.08059638193109175,102,PG,ORL,106.0,10,0.14757837682180497,0.07605304310540793,0.30736039899947004,0.17699727297556095,107
Taurean Prince,0.2501846392510514,107,0.20569904692245478,107,0.07080804482572767,106,PF,LAL,106.66666666666667,1,0.1351574319212541,0.09014320778961805,0.28856534271153816,0.1712886608074701,108
Gary Harris,0.22844560033907335,113,0.21245194351516583,105,0.07214589317769815,104,SG,ORL,107.33333333333333,9,0.09655007685553103,0.10176520125103745,0.29113420959968633,0.16314982923541826,109
Maxi Kleber,0.23813355499376768,110,0.18780039737067236,115,0.07175382852851997,105,C,DAL,110.0,10,0.11375535933047627,0.05933894695085695,0.29038138743280634,0.15449189790471318,110
Isaac Okoro,0.22904786095550383,112,0.1952148025231676,113,0.061405191743972076,109,SF,CLE,111.33333333333333,4,0.09761965907371371,0.07209942195881494,0.27051047281520996,0.14674318461591285,111
Christian Braun,0.23520495289365242,111,0.19297134770393026,114,0.05632513499131664,111,SG,DEN,112.0,3,0.10855432070208164,0.06823835036054562,0.26075601180878183,0.14584956095713636,112
Rui Hachimura,0.2419084273696403,109,0.20767415661209904,106,0.02752350831600958,114,PF,LAL,109.66666666666667,8,0.12045932810909617,0.09354244715060701,0.2054526248576168,0.13981813337243998,113
Royce O'Neale,0.22771775435095692,114,0.19882956846818203,111,0.039226956336194885,113,SF,PHO,112.66666666666667,3,0.09525746182272525,0.07832057248300107,0.22792497761115288,0.13383433730562638,114
Haywood Highsmith,0.2065325476857096,115,0.1774180055558084,116,0.004943627436580833,115,PF,MIA,115.33333333333333,1,0.057633682814939094,0.04147045331562406,0.16209591088920522,0.08706668233992279,115
Jose Alvarado,0.19525004262574597,116,0.22011214838318813,99,-0.07947481722662397,117,PG,NOP,110.66666666666667,18,0.0375965652291737,0.1149487069758818,0.0,0.050848424068351834,116
Amir Coffey,0.17408015950160088,117,0.1533218224162372,117,-0.020213776063690014,116,SF,LAC,116.66666666666667,1,0.0,0.0,0.11378997191753984,0.03792999063917994,117
