Player,Pos,Tm,G,GS,MP,PTS,TRB,AST,STL,BLK,eFG%,TOV,PF
Wendell Carter Jr.,C,ORL,7,5,26.4,7.6,6.3,1.3,0.7,0.6,0.479,0.7,2.9
Amir Coffey,SF,LAC,6,3,18.7,2.8,1.7,0.3,0.3,0.2,0.386,0.8,1.0
Mike Conley,PG,MIN,15,15,31.6,11.6,3.9,5.7,1.4,0.2,0.531,1.3,2.5
Pat Connaughton,SF,MIL,6,0,20.7,4.5,3.8,2.2,1.0,0.2,0.5,0.5,1.0
Anthony Davis,C,LAL,5,5,41.6,27.8,15.6,4.0,0.4,1.6,0.634,2.2,3.8
Donte DiVincenzo,SG,NYK,13,13,35.8,17.8,4.0,2.6,1.2,0.9,0.537,1.2,2.2
Luka Don?i?,PG,DAL,22,22,40.9,28.9,9.5,8.1,1.9,0.4,0.514,4.1,2.5
Luguentz Dort,SF,OKC,10,10,35.0,10.7,4.6,2.0,1.3,0.2,0.5,1.1,4.2
Kevin Durant,PF,PHO,4,4,42.0,26.8,6.5,3.3,0.5,1.5,0.59,2.5,2.0
Anthony Edwards,SG,MIN,16,16,40.6,27.6,7.0,6.5,1.5,0.6,0.552,3.3,2.3
Joel Embiid,C,PHI,6,6,41.3,33.0,10.8,5.7,1.2,1.5,0.492,4.2,3.3
